Fixture,Input Mode,Metric,Reference Value,JavaScript Value,Absolute Error,Relative Error,Pass / Fail
summary_hours_normal,summary,totalExposure,10000,10000,0,0,Pass
summary_hours_normal,summary,failureCount,4,4,0,0,Pass
summary_hours_normal,summary,failureRate,0.0004,0.0004,0,0,Pass
summary_hours_normal,summary,MTBF,2500,2500,0,0,Pass
summary_hours_normal,summary,missionReliability,0.9607894391523232,0.9607894391523232,0,0,Pass
summary_hours_normal,summary,missionFailureProbability,0.03921056084767682,0.03921056084767682,0,0,Pass
summary_hours_normal,summary,targetComparison,Meets Target,Meets Target,0,0,Pass
summary_cycles_normal,summary,totalExposure,500000,500000,0,0,Pass
summary_cycles_normal,summary,failureCount,10,10,0,0,Pass
summary_cycles_normal,summary,failureRate,0.00002,0.00002,0,0,Pass
summary_cycles_normal,summary,MTBF,50000,50000,0,0,Pass
summary_cycles_normal,summary,missionReliability,0.8187307530779818,0.8187307530779818,0,0,Pass
summary_cycles_normal,summary,missionFailureProbability,0.18126924692201818,0.18126924692201818,0,0,Pass
summary_cycles_normal,summary,targetComparison,Meets Target,Meets Target,0,0,Pass
summary_days_normal,summary,totalExposure,365,365,0,0,Pass
summary_days_normal,summary,failureCount,2,2,0,0,Pass
summary_days_normal,summary,failureRate,0.005479452054794521,0.005479452054794521,0,0,Pass
summary_days_normal,summary,MTBF,182.5,182.5,0,0,Pass
summary_days_normal,summary,missionReliability,0.8484165394203861,0.8484165394203861,0,0,Pass
summary_days_normal,summary,missionFailureProbability,0.15158346057961392,0.15158346057961392,0,0,Pass
summary_days_normal,summary,targetComparison,Below Target,Below Target,0,0,Pass
summary_one_failure,summary,totalExposure,1200,1200,0,0,Pass
summary_one_failure,summary,failureCount,1,1,0,0,Pass
summary_one_failure,summary,failureRate,0.0008333333333333334,0.0008333333333333334,0,0,Pass
summary_one_failure,summary,MTBF,1200,1200,0,0,Pass
summary_one_failure,summary,missionReliability,0.9200444146293233,0.9200444146293232,1.1102230246251565e-16,1.2067059013367895e-16,Pass
summary_one_failure,summary,missionFailureProbability,0.07995558537067671,0.07995558537067682,1.1102230246251565e-16,1.388549679772997e-15,Pass
summary_one_failure,summary,targetComparison,Meets Target,Meets Target,0,0,Pass
summary_three_failures,summary,totalExposure,9000,9000,0,0,Pass
summary_three_failures,summary,failureCount,3,3,0,0,Pass
summary_three_failures,summary,failureRate,0.0003333333333333333,0.0003333333333333333,0,0,Pass
summary_three_failures,summary,MTBF,3000,3000,0,0,Pass
summary_three_failures,summary,missionReliability,0.8464817248906141,0.846481724890614,1.1102230246251565e-16,1.311573530744121e-16,Pass
summary_three_failures,summary,missionFailureProbability,0.15351827510938587,0.15351827510938598,1.1102230246251565e-16,7.231862290232827e-16,Pass
summary_three_failures,summary,targetComparison,Below Target,Below Target,0,0,Pass
summary_six_failures,summary,totalExposure,24000,24000,0,0,Pass
summary_six_failures,summary,failureCount,6,6,0,0,Pass
summary_six_failures,summary,failureRate,0.00025,0.00025,0,0,Pass
